rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
1614.8999999994412,,rt_thecrossant_black,870102,,,black_plus_sign,,,,,49,,,1,0.8837209302325582,,,,,,,,,,,,,,,,
null,,color_black,870204,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),873222,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),873804,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,874312,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
1647,,rt_thecrossant_black,875734,,,black_plus_sign,,,,,50,,,1,0.8850574712643678,,,,,,,,,,,,,,,,
null,,color_black,875837,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),878856,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),879813,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,880315,,,yellow,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
791.9000000003725,,rt_thecrossant_black,881368,,,black_plus_sign,,,,,50,,,1,0.8863636363636364,,,,,,,,,,,,,,,,
null,,color_black,881470,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),884487,,,black_plus_sign,,,,,null,US_Cities_List/racine.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),885053,,,yellow,,,,,null,US_Cities_List/racine.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,885554,,,yellow,,,,,null,US_Cities_List/racine.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
1247.5999999996275,,rt_thecrossant_black,886994,,,black_plus_sign,,,,,50,,,1,0.8876404494382022,,,,,,,,,,,,,,,,
null,,color_black,887096,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),890112,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),890649,,,blue,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,891151,,,blue,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
1024.4000000003725,,rt_thecrossant_black,892617,,,black_plus_sign,,,,,49,,,1,0.8888888888888888,,,,,,,,,,,,,,,,
null,,color_black,892720,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),895739,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),896207,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,896708,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/gatlinburg.png,,,,,,,,,,,,,,,,,,
1084.2999999998137,,rt_thecrossant_black,898246,,,black_plus_sign,,,,,49,,,1,0.8901098901098901,,,,,,,,,,,,,,,,
null,,color_black,898347,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),901366,,,black_plus_sign,,,,,null,US_Cities_List/boulder.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),901905,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,902407,,,yellow,,,,,null,US_Cities_List/boulder.png,US_Cities_List/cornwall.png,,,,,,,,,,,,,,,,,,
1369.7999999998137,,rt_thecrossant_black,903872,,,black_plus_sign,,,,,50,,,1,0.8913043478260869,,,,,,,,,,,,,,,,
null,,color_black,903974,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),906990,,,black_plus_sign,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),907716,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,908217,,,yellow,,,,,null,US_Cities_List/peoria.png,US_Cities_List/hanover.png,,,,,,,,,,,,,,,,,,
865.0999999996275,,rt_thecrossant_black,909496,,,black_plus_sign,,,,,50,,,1,0.8924731182795699,,,,,,,,,,,,,,,,
null,,color_black,909597,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),912614,,,black_plus_sign,,,,,null,US_Cities_List/hanover.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),913375,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,913877,,,yellow,,,,,null,US_Cities_List/hanover.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
