rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,problems,smooth,distraction,strategies,easier,similar,comments
15396.5,,intro_1,893631,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
3262.2999999523163,,directmemory_phase,900183,../static/images/US_Cities_List/mm_peoria.png,,,,51,,,1,1,../static/images/US_Cities_List/nat_hotsprings.png,../static/images/US_Cities_List/nat_boulder.png,../static/images/US_Cities_List/nat_leesburg.png,../static/images/US_Cities_List/nat_leesburg.png,../static/images/US_Cities_List/nat_boulder.png,../static/images/US_Cities_List/nat_hotsprings.png,1,,,,,,,,,,,,,,,
3749.5,,directmemory_phase,906743,../static/images/US_Cities_List/mm_westpalmbeach.png,,,,50,,,1,1,../static/images/US_Cities_List/nat_cornwall.png,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/nat_carmel.png,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/nat_cornwall.png,../static/images/US_Cities_List/nat_carmel.png,1,,,,,,,,,,,,,,,
3138.600000023842,,directmemory_phase,913363,../static/images/US_Cities_List/nat_hotsprings.png,,,,51,,,1,1,../static/images/US_Cities_List/nat_cornwall.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/nat_boulder.png,../static/images/US_Cities_List/nat_boulder.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/nat_cornwall.png,1,,,,,,,,,,,,,,,
2221,,directmemory_phase,919978,../static/images/US_Cities_List/nat_boulder.png,,,,49,,,1,1,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/mm_hanover.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/mm_hanover.png,../static/images/US_Cities_List/mm_newhope.png,1,,,,,,,,,,,,,,,
2852,,directmemory_phase,926595,../static/images/US_Cities_List/nat_carmel.png,,,,49,,,0,0.8,../static/images/US_Cities_List/nat_leesburg.png,../static/images/US_Cities_List/mm_peoria.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/mm_peoria.png,../static/images/US_Cities_List/nat_leesburg.png,0.5,closer,,,,,,,,,,,,,,
2829.5,,directmemory_phase,933156,../static/images/US_Cities_List/nat_leesburg.png,,,,49,,,1,0.8333333333333334,../static/images/US_Cities_List/nat_racine.png,../static/images/US_Cities_List/nat_carmel.png,../static/images/US_Cities_List/mm_westpalmbeach.png,../static/images/US_Cities_List/nat_racine.png,../static/images/US_Cities_List/mm_westpalmbeach.png,../static/images/US_Cities_List/nat_carmel.png,1,,,,,,,,,,,,,,,
3509.100000023842,,directmemory_phase,939732,../static/images/US_Cities_List/mm_newhope.png,,,,51,,,1,0.8571428571428571,../static/images/US_Cities_List/nat_boulder.png,../static/images/US_Cities_List/mm_hanover.png,../static/images/US_Cities_List/mm_westpalmbeach.png,../static/images/US_Cities_List/mm_westpalmbeach.png,../static/images/US_Cities_List/mm_hanover.png,../static/images/US_Cities_List/nat_boulder.png,1,,,,,,,,,,,,,,,
4503.799999952316,,directmemory_phase,946342,../static/images/US_Cities_List/nat_cornwall.png,,,,49,,,0,0.75,../static/images/US_Cities_List/mm_peoria.png,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/nat_huntsville.png,../static/images/US_Cities_List/mm_newhope.png,../static/images/US_Cities_List/mm_peoria.png,../static/images/US_Cities_List/nat_huntsville.png,0.5,closer,,,,,,,,,,,,,,
3675.2000000476837,,directmemory_phase,952917,../static/images/US_Cities_List/nat_huntsville.png,,,,50,,,0,0.6666666666666666,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/nat_gatlinburg.png,../static/images/US_Cities_List/nat_carmel.png,../static/images/US_Cities_List/mm_shreveport.png,../static/images/US_Cities_List/nat_carmel.png,../static/images/US_Cities_List/nat_gatlinburg.png,0.5,closer,,,,,,,,,,,,,,
