rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,city_type,partid,age
107.7,shortestpath_phase,nat_hanover.png,50.0,nat_gatlinburg.png,nat_newhope.png,1.0,nat_newhope.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
786.7,shortestpath_phase,nat_racine.png,50.0,nat_cornwall.png,mm_leesburg.png,1.0,mm_leesburg.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
461.8,shortestpath_phase,mm_carmel.png,50.0,nat_huntsville.png,nat_newhope.png,1.0,nat_newhope.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
592.1,shortestpath_phase,nat_gatlinburg.png,50.0,nat_cornwall.png,mm_westpalmbeach.png,1.0,mm_westpalmbeach.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
263.8,shortestpath_phase,mm_carmel.png,50.0,nat_cornwall.png,nat_newhope.png,1.0,nat_newhope.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
22.7,shortestpath_phase,nat_racine.png,50.0,mm_boulder.png,nat_cornwall.png,0.0,mm_boulder.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
2376.5,shortestpath_phase,mm_carmel.png,49.0,nat_gatlinburg.png,nat_hanover.png,1.0,nat_gatlinburg.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
366.7,shortestpath_phase,nat_racine.png,50.0,nat_peoria.png,mm_westpalmbeach.png,0.0,nat_peoria.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
576.8,shortestpath_phase,nat_newhope.png,49.0,nat_huntsville.png,nat_cornwall.png,1.0,nat_huntsville.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
550.4,shortestpath_phase,mm_carmel.png,50.0,nat_hanover.png,mm_leesburg.png,1.0,mm_leesburg.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
357.0,shortestpath_phase,nat_hanover.png,50.0,nat_newhope.png,nat_gatlinburg.png,0.0,nat_newhope.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
302.6,shortestpath_phase,nat_racine.png,49.0,mm_hotsprings.png,mm_westpalmbeach.png,1.0,mm_hotsprings.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
259.7,shortestpath_phase,mm_westpalmbeach.png,50.0,mm_leesburg.png,mm_boulder.png,0.0,mm_leesburg.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
273.6,shortestpath_phase,mm_boulder.png,49.0,mm_leesburg.png,nat_racine.png,0.0,nat_racine.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
238.9,shortestpath_phase,mm_shreveport.png,49.0,nat_hanover.png,nat_gatlinburg.png,0.0,nat_gatlinburg.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
393.8,shortestpath_phase,nat_racine.png,50.0,nat_hanover.png,nat_peoria.png,1.0,nat_peoria.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
281.9,shortestpath_phase,mm_hotsprings.png,49.0,nat_hanover.png,mm_boulder.png,0.0,mm_boulder.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
535.2,shortestpath_phase,nat_cornwall.png,50.0,mm_leesburg.png,nat_racine.png,0.0,mm_leesburg.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
306.5,shortestpath_phase,nat_racine.png,49.0,mm_hotsprings.png,nat_cornwall.png,1.0,mm_hotsprings.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
262.7,shortestpath_phase,mm_westpalmbeach.png,50.0,mm_hotsprings.png,nat_hanover.png,1.0,nat_hanover.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
322.2,shortestpath_phase,nat_racine.png,50.0,nat_cornwall.png,nat_huntsville.png,1.0,nat_huntsville.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
274.2,shortestpath_phase,nat_hanover.png,49.0,mm_hotsprings.png,nat_racine.png,1.0,mm_hotsprings.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
208.9,shortestpath_phase,nat_racine.png,50.0,mm_westpalmbeach.png,mm_boulder.png,1.0,mm_boulder.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
