rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
3487.7000000029802,,shortestpath_phase,3497800,,,../static/images/US_Cities_List/boulder.png,,,,,49,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/hotsprings.png,0.5263157894736842,0,,,,../static/images/US_Cities_List/hotsprings.png,,,,,One Edge Diff,Three Edge Four Edge,,,,,,
null,,html-keyboard-response,3498806,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1611.800000000745,,shortestpath_phase,3500448,,,../static/images/US_Cities_List/hanover.png,,,,,50,../static/images/US_Cities_List/newhope.png,../static/images/US_Cities_List/carmel.png,0.5,0,,,,../static/images/US_Cities_List/newhope.png,,,,,One Edge Diff,Four Edge Five Edge,,,,,,
null,,html-keyboard-response,3501454,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3581.199999999255,,shortestpath_phase,3505064,,,../static/images/US_Cities_List/carmel.png,,,,,50,../static/images/US_Cities_List/hotsprings.png,../static/images/US_Cities_List/hanover.png,0.47619047619047616,0,,,,../static/images/US_Cities_List/hotsprings.png,,,,,Two Edge Diff,Three Edge Five Edge,,,,,,
null,,html-keyboard-response,3506069,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2568,,shortestpath_phase,3508664,,,../static/images/US_Cities_List/hanover.png,,,,,49,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/boulder.png,0.45454545454545453,0,,,,../static/images/US_Cities_List/boulder.png,,,,,Two Edge Diff,Three Edge Five Edge,,,,,,
null,,html-keyboard-response,3509669,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2251.599999997765,,shortestpath_phase,3511952,,,../static/images/US_Cities_List/cornwall.png,,,,,50,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/newhope.png,0.4782608695652174,1,,,,../static/images/US_Cities_List/newhope.png,,,,,Two Edge Diff,Three Edge Five Edge,,,,,,
null,,html-keyboard-response,3512958,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2938.699999999255,,shortestpath_phase,3515920,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/huntsville.png,0.5,1,,,,../static/images/US_Cities_List/huntsville.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,3516926,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1704.6000000014901,,shortestpath_phase,3518664,,,../static/images/US_Cities_List/hanover.png,,,,,50,../static/images/US_Cities_List/cornwall.png,../static/images/US_Cities_List/carmel.png,0.48,0,,,,../static/images/US_Cities_List/cornwall.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3519670,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2782.900000002235,,shortestpath_phase,3522481,,,../static/images/US_Cities_List/leesburg.png,,,,,49,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/peoria.png,0.46153846153846156,0,,,,../static/images/US_Cities_List/peoria.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3523487,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4537.699999999255,,shortestpath_phase,3528048,,,../static/images/US_Cities_List/boulder.png,,,,,50,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/leesburg.png,0.4444444444444444,0,,,,../static/images/US_Cities_List/hanover.png,,,,,Two Edge Diff,Three Edge Five Edge,,,,,,
null,,html-keyboard-response,3529055,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2202.39999999851,,shortestpath_phase,3531280,,,../static/images/US_Cities_List/shreveport.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/newhope.png,0.4642857142857143,1,,,,../static/images/US_Cities_List/newhope.png,,,,,Two Edge Diff,Three Edge Five Edge,,,,,,
null,,html-keyboard-response,3532286,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2319.099999997765,,shortestpath_phase,3534625,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,50,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/hotsprings.png,0.4827586206896552,1,,,,../static/images/US_Cities_List/hotsprings.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3535631,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3170.10000000149,,shortestpath_phase,3538824,,,../static/images/US_Cities_List/hanover.png,,,,,49,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/gatlinburg.png,0.4666666666666667,0,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,Four Edge Diff,Two Edge Six Edge,,,,,,
null,,html-keyboard-response,3539831,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3135.10000000149,,shortestpath_phase,3542992,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/leesburg.png,0.4838709677419355,1,,,,../static/images/US_Cities_List/leesburg.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3543998,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3338.300000000745,,shortestpath_phase,3547361,,,../static/images/US_Cities_List/hanover.png,,,,,50,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/newhope.png,0.46875,0,,,,../static/images/US_Cities_List/huntsville.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,3548367,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3962.5,,shortestpath_phase,3552360,,,../static/images/US_Cities_List/newhope.png,,,,,49,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/hanover.png,0.48484848484848486,1,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,3553366,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2193.7999999970198,,shortestpath_phase,3555584,,,../static/images/US_Cities_List/cornwall.png,,,,,50,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/huntsville.png,0.5,1,,,,../static/images/US_Cities_List/huntsville.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3556590,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
5228,,shortestpath_phase,3561849,,,../static/images/US_Cities_List/boulder.png,,,,,50,../static/images/US_Cities_List/leesburg.png,../static/images/US_Cities_List/gatlinburg.png,0.5142857142857142,1,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3562854,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
1473.2000000029802,,shortestpath_phase,3564353,,,../static/images/US_Cities_List/carmel.png,,,,,50,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/hanover.png,0.5,0,,,,../static/images/US_Cities_List/westpalmbeach.png,,,,,Three Edge Diff,Two Edge Five Edge,,,,,,
null,,html-keyboard-response,3565358,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4013.300000000745,,shortestpath_phase,3569400,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/leesburg.png,0.5135135135135135,1,,,,../static/images/US_Cities_List/leesburg.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3570406,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3068.89999999851,,shortestpath_phase,3573497,,,../static/images/US_Cities_List/huntsville.png,,,,,50,../static/images/US_Cities_List/hotsprings.png,../static/images/US_Cities_List/boulder.png,0.5,0,,,,../static/images/US_Cities_List/hotsprings.png,,,,,One Edge Diff,Two Edge Three Edge,,,,,,
null,,html-keyboard-response,3574503,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3312.89999999851,,shortestpath_phase,3577849,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/hanover.png,../static/images/US_Cities_List/cornwall.png,0.5128205128205128,1,,,,../static/images/US_Cities_List/cornwall.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,3578855,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
5283.400000002235,,shortestpath_phase,3584161,,,../static/images/US_Cities_List/leesburg.png,,,,,50,../static/images/US_Cities_List/boulder.png,../static/images/US_Cities_List/huntsville.png,0.525,1,,,,../static/images/US_Cities_List/huntsville.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3585167,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
4671.39999999851,,shortestpath_phase,3589873,,,../static/images/US_Cities_List/cornwall.png,,,,,50,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/hotsprings.png,0.5365853658536586,1,,,,../static/images/US_Cities_List/hotsprings.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3590879,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2661.900000002235,,shortestpath_phase,3593569,,,../static/images/US_Cities_List/hanover.png,,,,,49,../static/images/US_Cities_List/carmel.png,../static/images/US_Cities_List/peoria.png,0.5476190476190477,1,,,,../static/images/US_Cities_List/carmel.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,3594574,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
5885.599999997765,,shortestpath_phase,3600489,,,../static/images/US_Cities_List/huntsville.png,,,,,49,../static/images/US_Cities_List/peoria.png,../static/images/US_Cities_List/cornwall.png,0.5348837209302325,0,,,,../static/images/US_Cities_List/cornwall.png,,,,,Two Edge Diff,Two Edge Four Edge,,,,,,
null,,html-keyboard-response,3601495,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
