rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
1494.0999999940395,,rt_thecrossant_black,1174569,,,black_plus_sign,,,,,49,,,0.9894736842105263,1,,,,,,,,,,,,,,,,
null,,color_black,1174672,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1177691,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1178602,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1179103,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,1180198,,,black_plus_sign,,,,,null,,,0.9894736842105263,,,,,,,,,,,,,,,,,
null,,color_black,1180300,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1183315,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1184404,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1184905,,,blue,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
1771.2000000178814,,rt_thecrossant_black,1185819,,,black_plus_sign,,,,,49,,,0.9895833333333334,1,,,,,,,,,,,,,,,,
null,,color_black,1185921,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1188935,,,black_plus_sign,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1189819,,,blue,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1190321,,,blue,,,,,null,US_Cities_List/leesburg.png,US_Cities_List/boulder.png,,,,,,,,,,,,,,,,,,
1894.2000000178814,,rt_thecrossant_black,1191446,,,black_plus_sign,,,,,49,,,0.9896907216494846,1,,,,,,,,,,,,,,,,
null,,color_black,1191548,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1194566,,,black_plus_sign,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1195005,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1195507,,,yellow,,,,,null,US_Cities_List/carmel.png,US_Cities_List/leesburg.png,,,,,,,,,,,,,,,,,,
1754.6000000238419,,rt_thecrossant_black,1197071,,,black_plus_sign,,,,,50,,,0.9897959183673469,1,,,,,,,,,,,,,,,,
null,,color_black,1197173,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1200188,,,black_plus_sign,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1200893,,,yellow,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1201395,,,yellow,,,,,null,US_Cities_List/shreveport.png,US_Cities_List/carmel.png,,,,,,,,,,,,,,,,,,
1427.5999999940395,,rt_thecrossant_black,1202694,,,black_plus_sign,,,,,50,,,0.98989898989899,1,,,,,,,,,,,,,,,,
null,,color_black,1202797,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1205810,,,black_plus_sign,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1206435,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1206936,,,blue,,,,,null,US_Cities_List/hotsprings.png,US_Cities_List/peoria.png,,,,,,,,,,,,,,,,,,
1509,,rt_thecrossant_black,1208315,,,black_plus_sign,,,,,49,,,0.99,1,,,,,,,,,,,,,,,,
null,,color_black,1208416,,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
