rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,rt_plussign_withcolor,656089,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
1113.5999999996275,,rt_thecrossant_black,657198,,black_plus_sign,,,,,49,,,1,0.9767441860465116,,,,,,,,,,,,,,,,
null,,color_black,657301,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),660317,,black_plus_sign,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),661015,,blue,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,661518,,blue,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
1254.199999999255,,rt_thecrossant_black,662827,,black_plus_sign,,,,,49,,,1,0.9772727272727273,,,,,,,,,,,,,,,,
null,,color_black,662930,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),665943,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),666493,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,666996,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
1091.2999999998137,,rt_thecrossant_black,668453,,black_plus_sign,,,,,49,,,1,0.9777777777777777,,,,,,,,,,,,,,,,
null,,color_black,668557,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),671574,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),672155,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,672658,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
1094.5,,rt_thecrossant_black,674082,,black_plus_sign,,,,,49,,,1,0.9782608695652174,,,,,,,,,,,,,,,,
null,,color_black,674185,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),677200,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),678093,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
