"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","detour_trial","linedressed_detor","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"676.7999999970198","","rt_thecrossant_black","649135","","black_plus_sign","","","","","49","","","1","0.9555555555555556","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","649239","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","652255","","black_plus_sign","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","653274","","blue","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"439.79999999701977","","rt_plussign_withcolor","653778","","blue","","","","","49","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","654766","","black_plus_sign","","","","","null","","","1","0.9565217391304348","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","654870","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","657889","","black_plus_sign","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","658363","","blue","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"478.70000000298023","","rt_plussign_withcolor","658867","","blue","","","","","49","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","660400","","black_plus_sign","","","","","50","","","1","0.9574468085106383","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","660504","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","663518","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","664473","","blue","","","","","null","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400.40000000596046","","rt_plussign_withcolor","664977","","blue","","","","","49","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","666029","","black_plus_sign","","","","","null","","","1","0.9583333333333334","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","666133","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","669150","","black_plus_sign","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","669869","","blue","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","670372","","blue","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1160.8999999910593","","rt_thecrossant_black","671661","","black_plus_sign","","","","","49","","","1","0.9591836734693877","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","671764","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","674785","","black_plus_sign","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","675541","","blue","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"397.09999999403954","","rt_plussign_withcolor","676045","","blue","","","","","49","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","677297","","black_plus_sign","","","","","null","","","1","0.96","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","677400","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","680413","","black_plus_sign","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","681113","","green","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","681616","","green","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1172.5","","rt_thecrossant_black","682923","","black_plus_sign","","","","","50","","","1","0.9607843137254902","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","683027","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","686038","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","686588","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","687091","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/gong.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"801.2999999970198","","rt_thecrossant_black","688549","","black_plus_sign","","","","","50","","","1","0.9615384615384616","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","688653","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","691669","","black_plus_sign","","","","","null","US_Cities_List/hat.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","692568","","blue","","","","","null","US_Cities_List/hat.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","693071","","blue","","","","","null","US_Cities_List/hat.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"720.7000000029802","","rt_thecrossant_black","694180","","black_plus_sign","","","","","49","","","1","0.9622641509433962","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","694284","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","697305","","black_plus_sign","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","697927","","blue","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
