rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position
null,,learn_phase(without_color),384102,black_plus_sign,,,,null,US_Cities_List/mm_cornwall.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),385017,blue,,,,null,US_Cities_List/mm_cornwall.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,385520,blue,,,,null,US_Cities_List/mm_cornwall.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
794.7000000029802,,rt_thecrossant_black,386613,black_plus_sign,,,,49,,,1,0.9347826086956522,,,,,,,,,,,,,,,
null,,color_black,386716,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),389248,black_plus_sign,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),390015,green,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,390519,green,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
1821.5999999940395,,rt_thecrossant_black,391759,black_plus_sign,,,,50,,,1,0.9361702127659575,,,,,,,,,,,,,,,
null,,color_black,391862,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),394403,black_plus_sign,,,,null,US_Cities_List/nat_peoria.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),395367,blue,,,,null,US_Cities_List/nat_peoria.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,395871,blue,,,,null,US_Cities_List/nat_peoria.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
867.9000000059605,,rt_thecrossant_black,396913,black_plus_sign,,,,49,,,1,0.9375,,,,,,,,,,,,,,,
null,,color_black,397018,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),399553,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),400641,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,401144,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
1237.1000000089407,,rt_thecrossant_black,402064,black_plus_sign,,,,49,,,1,0.9387755102040817,,,,,,,,,,,,,,,
null,,color_black,402167,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),404693,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
