rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
1113.0999999998603,,rt_thecrossant_black,631423,,black_plus_sign,,,,,49,,,1,0.9705882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,631526,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),634540,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),635218,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,635721,,green,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068.6999999999534,,rt_thecrossant_black,637049,,black_plus_sign,,,,,49,,,0,0.9428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,637152,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),640164,,black_plus_sign,,,,,null,US_Cities_List/paint.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),641158,,green,,,,,null,US_Cities_List/paint.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.10000000009313,,rt_plussign_withcolor,641660,,green,,,,,50,US_Cities_List/paint.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,642674,,black_plus_sign,,,,,null,,,1,0.9444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,642778,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),645795,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),646841,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,647344,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233.5,,rt_thecrossant_black,648304,,black_plus_sign,,,,,49,,,1,0.9459459459459459,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,648408,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),651421,,black_plus_sign,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),652135,,blue,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,652638,,blue,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293.1999999999534,,rt_thecrossant_black,653931,,black_plus_sign,,,,,49,,,1,0.9473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,654035,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),657051,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),658038,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,658541,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991.3999999999069,,rt_thecrossant_black,659561,,black_plus_sign,,,,,49,,,1,0.9487179487179487,,,,,,,,,,,,,,,,,,,,,,,,,,,
