rt,responses,trial_type,time_elapsed,condition,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
null,,black_cross(without_color),143144,,blue,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,143647,,blue,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
990.5,,rt_thecrossant_black,144579,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,
null,,color_black,144683,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),147704,,black_plus_sign,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),148177,,green,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,148680,,green,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
1615,,rt_thecrossant_black,150213,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,150316,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),153337,,black_plus_sign,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),153962,,green,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,154465,,green,,,,,null,US_Cities_List/nat_hotsprings.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,
847.8000000007451,,rt_thecrossant_black,155847,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,155951,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),158981,,black_plus_sign,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),159668,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,160170,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
826.7000000001863,,rt_thecrossant_black,161489,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,161591,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),164619,,black_plus_sign,,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),165573,,blue,,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
478.5,,rt_plussign_withcolor,166075,,blue,,,,,49,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,167127,,black_plus_sign,,,,,null,,,1,1,,,,,,,,,,,,,,
null,,color_black,167230,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),170248,,black_plus_sign,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),170945,,blue,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,171448,,blue,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
1302.7999999998137,,rt_thecrossant_black,172757,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,
null,,color_black,172861,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),175885,,black_plus_sign,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),176405,,blue,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,176908,,blue,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
1211.5,,rt_thecrossant_black,178395,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,
null,,color_black,178498,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),181519,,black_plus_sign,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),181981,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,182484,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
765.5,,rt_thecrossant_black,184028,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,184132,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),187156,,black_plus_sign,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),187880,,blue,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,188383,,blue,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
751,,rt_thecrossant_black,189665,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,
null,,color_black,189768,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),192790,,black_plus_sign,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),193754,,green,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,194258,,green,,,,,null,US_Cities_List/mm_racine.png,US_Cities_List/mm_carmel.png,,,,,,,,,,,,,,,,
968,,rt_thecrossant_black,195299,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,195403,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),198425,,black_plus_sign,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),198854,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,199357,,green,,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_gatlinburg.png,,,,,,,,,,,,,,,,
1566.9000000003725,,rt_thecrossant_black,200935,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,201037,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),204063,,black_plus_sign,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),204581,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,205084,,green,,,,,null,US_Cities_List/mm_carmel.png,US_Cities_List/mm_racine.png,,,,,,,,,,,,,,,,
1026.6000000005588,,rt_thecrossant_black,206572,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,206675,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),209706,,black_plus_sign,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),210181,,green,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,210683,,green,,,,,null,US_Cities_List/mm_westpalmbeach.png,US_Cities_List/mm_leesburg.png,,,,,,,,,,,,,,,,
962.2000000001863,,rt_thecrossant_black,212213,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,212316,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),215341,,black_plus_sign,,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),216114,,green,,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,216617,,green,,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,
780.7000000001863,,rt_thecrossant_black,217850,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,
null,,color_black,217952,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),220974,,black_plus_sign,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),221820,,blue,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,222324,,blue,,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,
1110.5,,rt_thecrossant_black,223484,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,
null,,color_black,223587,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),226617,,black_plus_sign,,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/mm_westpalmbeach.png,,,,,,,,,,,,,,,,
null,,black_cross(without_color),227144,,blue,,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/mm_westpalmbeach.png,,,,,,,,,,,,,,,,
